group,id_player,prev_outcome,n_round,n_round_change,stake_change_prop,stake_change_size_overall,stake_change_level_overall,stake_change_size,stake_change_level
High-Risk,HR_123,win,11402,8,0.0701631292755657,0.0010524469391334855,9.647430275390282e-4,1.5,1.375
High-Risk,HR_1230,loss,118,0,0,0,0,NA,NA
High-Risk,HR_1230,win,37,0,0,0,0,NA,NA
High-Risk,HR_1231,loss,1850,47,2.540540540540541,-0.0013513513513513514,-0.006486486486486486,-0.05319148936170213,-0.2553191489361702
High-Risk,HR_1231,win,638,5,0.7836990595611284,0.003134796238244514,0.009404388714733543,0.4,1.2
High-Risk,HR_1232,loss,780,5,0.641025641025641,-0.0028846153846153848,-0.00641025641025641,-0.45,-1
High-Risk,HR_1232,win,204,1,0.49019607843137253,0.0024509803921568627,0.004901960784313725,0.5,1
High-Risk,HR_1233,loss,258,6,2.3255813953488373,-0.001937984496124031,-0.003875968992248062,-0.08333333333333333,-0.16666666666666666
High-Risk,HR_1233,win,83,1,1.2048192771084338,0.012048192771084338,0.024096385542168676,1,2
High-Risk,HR_1234,loss,4590,27,0.5882352941176471,-0.0030501089324618735,-0.003485838779956427,-0.5185185185185185,-0.5925925925925926
High-Risk,HR_1234,win,1319,0,0,0,0,NA,NA
High-Risk,HR_1235,loss,8713,467,5.3598071846665905,0.0070871112131298064,0.010444163893033398,0.1322269807280514,0.1948608137044968
High-Risk,HR_1235,win,3037,20,0.658544616397761,4.939084622983208e-4,9.878169245966413e-4,0.075,0.15
High-Risk,HR_1236,loss,10131,215,2.1221991906030993,0.08015003454742868,0.016484058829335704,3.7767441860465114,0.7767441860465116
High-Risk,HR_1236,win,3509,0,0,0,0,NA,NA
High-Risk,HR_1237,loss,18,0,0,0,0,NA,NA
High-Risk,HR_1237,win,11,0,0,0,0,NA,NA
High-Risk,HR_1238,loss,188,1,0.5319148936170213,-0.0013297872340425532,-0.005319148936170213,-0.25,-1
High-Risk,HR_1238,win,54,0,0,0,0,NA,NA
High-Risk,HR_1239,loss,184,4,2.1739130434782608,-0.02717391304347826,-0.03804347826086957,-1.25,-1.75
High-Risk,HR_1239,win,48,0,0,0,0,NA,NA
High-Risk,HR_124,loss,6237,72,1.1544011544011543,0.0021645021645021645,0.00160333493666827,0.1875,0.1388888888888889
High-Risk,HR_124,win,1933,9,0.46559751681324363,0.0031039834454216243,0.006207966890843249,0.6666666666666666,1.3333333333333333
High-Risk,HR_1240,loss,90,1,1.1111111111111112,-0.016666666666666666,-0.03333333333333333,-1.5,-3
High-Risk,HR_1240,win,37,1,2.7027027027027026,0.02702702702702703,0.05405405405405406,1,2
High-Risk,HR_1241,loss,24,2,8.333333333333332,0,0,0,0
High-Risk,HR_1241,win,1,0,0,0,0,NA,NA
High-Risk,HR_1242,loss,27,0,0,0,0,NA,NA
High-Risk,HR_1242,win,6,0,0,0,0,NA,NA
High-Risk,HR_1243,loss,803,3,0.37359900373599003,6.226650062266501e-4,0.0012453300124533001,0.16666666666666666,0.3333333333333333
High-Risk,HR_1243,win,264,0,0,0,0,NA,NA
High-Risk,HR_1244,loss,101,1,0.9900990099009901,0.024752475247524754,0.009900990099009901,2.5,1
High-Risk,HR_1244,win,32,0,0,0,0,NA,NA
High-Risk,HR_1245,loss,40,1,2.5,-0.01875,-0.05,-0.75,-2
High-Risk,HR_1245,win,11,0,0,0,0,NA,NA
High-Risk,HR_1246,loss,5153,242,4.696293421307976,-0.007083252474286823,-0.014166504948573647,-0.15082644628099173,-0.30165289256198347
High-Risk,HR_1246,win,1792,40,2.232142857142857,0.021902901785714284,0.025111607142857144,0.98125,1.125
High-Risk,HR_1247,loss,813,1,0.12300123001230012,-0.0018450184501845018,-0.0036900369003690036,-1.5,-3
High-Risk,HR_1247,win,234,0,0,0,0,NA,NA
High-Risk,HR_1248,loss,107,0,0,0,0,NA,NA
High-Risk,HR_1248,win,24,0,0,0,0,NA,NA
High-Risk,HR_1249,loss,50,1,2,-0.01,-0.02,-0.5,-1
High-Risk,HR_1249,win,10,0,0,0,0,NA,NA
High-Risk,HR_125,loss,27,0,0,0,0,NA,NA
High-Risk,HR_125,win,8,0,0,0,0,NA,NA
High-Risk,HR_1250,loss,35,0,0,0,0,NA,NA
High-Risk,HR_1250,win,10,0,0,0,0,NA,NA
