group,id_player,age,gender,income,risk_0,risk_3,risk_4,risk_5,n_session,n_round_total,n_round_mean,n_round_median,bet_max,bet_min,bet_mean,bet_median,win_prob,win_max,win_min,win_mean,win_median,loss_max,loss_min,loss_mean,loss_median,total_spent
Low-Risk,LR_794,50,Male,14872.74077677282,1,0,0,0,1,85,85,85,0.5,0.5,0.5,0.5,34.11764705882353,1.5,0.5,0.8448275862068966,1,0.5,0.5,0.5,0.5,3.5
Low-Risk,LR_795,58,Male,NA,1,0,0,0,1,5,5,5,1,1,1,1,0,NA,NA,NA,NA,1,1,1,1,5
Low-Risk,LR_796,41,Female,13444.220983470092,1,0,0,0,32,974,30.4375,23,1,0.25,0.3480492813141684,0.25,22.68993839835729,24.75,0.25,1.1889140271493213,0.5,1,0.25,0.350597609561753,0.25,1.25
Low-Risk,LR_797,47,Male,NA,1,0,0,0,2,20,10,10,0.5,0.25,0.325,0.25,15,1,0.25,0.5833333333333334,0.5,0.5,0.25,0.3235294117647059,0.25,3.75
Low-Risk,LR_798,41,Male,22368.715773366417,1,0,0,0,1,60,60,60,5,5,5,5,23.333333333333332,25,5,7.142857142857143,5,5,5,5,5,130
Low-Risk,LR_799,34,Male,19667.239226190475,1,0,0,0,1,28,28,28,0.5,0.25,0.375,0.375,28.57142857142857,1.5,0.25,0.71875,0.5,0.5,0.25,0.3875,0.5,2
Low-Risk,LR_8,48,Male,19972.394911705807,1,0,0,0,3,18,6,6,0.25,0.25,0.25,0.25,11.11111111111111,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3.5
Low-Risk,LR_80,32,Male,20583.867593712213,1,0,0,0,1,22,22,22,1,1,1,1,27.27272727272727,2,1,1.3333333333333333,1,1,1,1,1,8
Low-Risk,LR_800,25,Female,19310.04484363732,1,0,0,0,9,1897,210.77777777777777,169,1,0.5,0.89694254085398,1,22.14022140221402,59,0.5,2.6809523809523808,1,1,0.5,0.8930264048747462,1,193
Low-Risk,LR_801,28,Male,18302.887469859248,1,0,0,0,1,28,28,28,1,1,1,1,17.857142857142858,2,1,1.2,1,1,1,1,1,17
Low-Risk,LR_802,59,Female,21624.35064649452,1,0,0,0,2,33,16.5,16.5,0.25,0.25,0.25,0.25,15.151515151515152,4.75,0.25,1.4,0.5,0.25,0.25,0.25,0.25,0
Low-Risk,LR_803,22,Female,12133.001909630855,1,0,0,0,2,39,19.5,19.5,1,0.5,0.6538461538461539,0.5,20.51282051282051,1,0.5,0.75,0.75,1,0.5,0.6774193548387096,0.5,15
Low-Risk,LR_804,34,Male,21610.664666014007,1,0,0,0,2,229,114.5,114.5,1.5,1,1.244541484716157,1,21.397379912663755,58.5,1,3.5306122448979593,2,1.5,1,1.25,1.25,52
Low-Risk,LR_805,30,Male,14649.141709140966,1,0,0,0,2,90,45,45,0.5,0.25,0.4861111111111111,0.5,18.88888888888889,2.5,0.5,0.8823529411764706,0.5,0.5,0.25,0.4828767123287671,0.5,20.25
Low-Risk,LR_806,26,Male,14872.74077677282,1,0,0,0,3,215,71.66666666666667,60,2,0.25,1.058139534883721,0.5,15.348837209302326,38,0.25,3.090909090909091,1.5,2,0.25,1.0412087912087913,0.5,87.5
Low-Risk,LR_807,34,Male,17938.54357142857,1,0,0,0,108,2683,24.84259259259259,21,5,0.25,0.8633060007454342,0.5,23.07118896757361,59,0.5,2.405492730210016,1,5,0.25,0.8547722868217055,0.5,275.25
Low-Risk,LR_808,25,Female,13437.808931642736,1,0,0,0,16,1112,69.5,29.5,1,0.5,0.5894784172661871,0.5,20.503597122302157,99,0.5,2.379385964912281,1,1,0.5,0.5882352941176471,0.5,-22.5
Low-Risk,LR_809,33,Male,20544.580993809603,1,0,0,0,1,4,4,4,0.25,0.25,0.25,0.25,0,NA,NA,NA,NA,0.25,0.25,0.25,0.25,1
Low-Risk,LR_81,45,Female,NA,1,0,0,0,4,103,25.75,27.5,0.5,0.25,0.4344660194174757,0.5,19.41747572815534,2,0.25,0.7375,0.5,0.5,0.25,0.4427710843373494,0.5,22
Low-Risk,LR_810,34,Male,16715.497825958526,1,0,0,0,3,93,31,12,0.5,0.25,0.2903225806451613,0.25,22.58064516129032,1,0.25,0.39285714285714285,0.25,0.5,0.25,0.2916666666666667,0.25,12.75
Low-Risk,LR_811,74,Male,18271.92316360601,1,0,0,0,1,33,33,33,1,0.25,0.6363636363636364,1,12.121212121212121,2,1,1.75,2,1,0.25,0.5862068965517241,0.25,10
Low-Risk,LR_812,52,Female,13444.220983470092,1,0,0,0,2,77,38.5,38.5,1,0.5,0.6103896103896104,0.5,18.181818181818183,4,0.5,1.2142857142857142,1,1,0.5,0.6111111111111112,0.5,21.5
Low-Risk,LR_813,24,Male,15819.038485362007,1,0,0,0,21,647,30.80952380952381,35,1,0.25,0.3226429675425039,0.25,19.01081916537867,14.75,0.25,0.7764227642276422,0.5,1,0.25,0.3196564885496183,0.25,72
Low-Risk,LR_814,22,Male,13444.220983470092,1,0,0,0,1,28,28,28,0.5,0.5,0.5,0.5,17.857142857142858,1.5,0.5,1.1,1.5,0.5,0.5,0.5,0.5,6
Low-Risk,LR_815,57,Male,16121.516597765853,1,0,0,0,1,10,10,10,1,1,1,1,0,NA,NA,NA,NA,1,1,1,1,10
Low-Risk,LR_816,27,Male,17720.630576923075,1,0,0,0,11,729,66.27272727272727,54,1,0.25,0.48662551440329216,0.5,24.96570644718793,7,0.25,0.8063186813186813,0.5,1,0.25,0.48857404021937845,0.5,120.5
Low-Risk,LR_817,60,Female,18807.19562494157,1,0,0,0,1,63,63,63,0.5,0.25,0.30952380952380953,0.25,20.634920634920633,1,0.25,0.46153846153846156,0.25,0.5,0.25,0.32,0.25,10
Low-Risk,LR_818,58,Male,14872.74077677282,1,0,0,0,1,117,117,117,1,1,1,1,22.22222222222222,19,1,2.3461538461538463,2,1,1,1,1,30
Low-Risk,LR_819,36,Male,NA,1,0,0,0,1,71,71,71,0.25,0.25,0.25,0.25,26.76056338028169,1.25,0.25,0.42105263157894735,0.25,0.25,0.25,0.25,0.25,5
Low-Risk,LR_82,37,Male,13444.220983470092,1,0,0,0,2,63,31.5,31.5,0.5,0.25,0.30158730158730157,0.25,15.873015873015872,1.5,0.25,0.6,0.375,0.5,0.25,0.3018867924528302,0.25,10
Low-Risk,LR_820,60,Female,19876.481442441054,1,0,0,0,1,102,102,102,0.25,0.25,0.25,0.25,23.52941176470588,9.75,0.25,0.8125,0.25,0.25,0.25,0.25,0.25,0
Low-Risk,LR_821,27,Male,16394.77765776613,1,0,0,0,9,421,46.77777777777778,25,5,0.25,1.0546318289786223,1,24.94061757719715,10,0.25,2.1142857142857143,1.5,5,0.25,1.0348101265822784,1,105
Low-Risk,LR_822,37,Male,16394.77765776613,1,0,0,0,1,23,23,23,0.5,0.5,0.5,0.5,8.695652173913043,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,9.5
Low-Risk,LR_823,37,Male,NA,1,0,0,0,2,48,24,24,0.25,0.25,0.25,0.25,12.5,0.5,0.25,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,8.5
Low-Risk,LR_824,30,Male,16081.0476064887,1,0,0,0,2,28,14,14,5,0.25,4.4375,5,28.57142857142857,15,0.25,7.21875,7.5,5,1.5,4.575,5,33.75
Low-Risk,LR_825,70,Male,19517.699286442406,1,0,0,0,1,50,50,50,0.25,0.25,0.25,0.25,8,0.5,0.25,0.4375,0.5,0.25,0.25,0.25,0.25,9.75
Low-Risk,LR_826,30,Male,20415.398565167798,1,0,0,0,42,3073,73.16666666666667,58.5,2.5,0.25,0.5286365115522291,0.5,22.58379433778067,49.5,0.25,1.7935878962536023,0.875,2.5,0.25,0.5297393862967633,0.5,15.5
Low-Risk,LR_827,29,Male,15480.272536735392,1,0,0,0,1,36,36,36,0.25,0.25,0.25,0.25,16.666666666666664,0.75,0.25,0.4166666666666667,0.375,0.25,0.25,0.25,0.25,5
Low-Risk,LR_828,45,Male,15345.727103887619,1,0,0,0,1,8,8,8,0.5,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5,0.5,0.5,4
Low-Risk,LR_829,27,Female,15241.155792148917,1,0,0,0,2,53,26.5,26.5,1,0.5,0.8773584905660378,1,16.9811320754717,3,0.5,1.7222222222222223,2,1,0.5,0.8636363636363636,1,22.5
Low-Risk,LR_83,43,Female,20720.405944546754,1,0,0,0,4,201,50.25,44,0.25,0.25,0.25,0.25,25.37313432835821,1.75,0.25,0.47058823529411764,0.25,0.25,0.25,0.25,0.25,13.5
Low-Risk,LR_830,27,Male,18604.36804933253,1,0,0,0,14,404,28.857142857142858,28.5,1,0.25,0.5179455445544554,0.5,20.049504950495052,19,0.25,1.1944444444444444,0.5,1,0.25,0.5170278637770898,0.5,70.25
Low-Risk,LR_831,44,Female,19541.02184772953,1,0,0,0,2,339,169.5,169.5,1.5,0.5,0.5766961651917404,0.5,23.59882005899705,3,0.5,0.94375,0.75,1.5,0.5,0.5617760617760618,0.5,70
Low-Risk,LR_832,29,Female,15545.454559001208,1,0,0,0,18,1491,82.83333333333333,55,2.5,0.25,0.6809188464118041,0.5,26.089872568745808,49.5,0.25,1.7030848329048842,1,2.5,0.25,0.683529945553539,0.5,90.75
Low-Risk,LR_833,46,Male,NA,1,0,0,0,1,63,63,63,0.25,0.25,0.25,0.25,25.396825396825395,1,0.25,0.421875,0.375,0.25,0.25,0.25,0.25,5
Low-Risk,LR_834,33,Female,14811.681844131132,1,0,0,0,2,65,32.5,32.5,1,1,1,1,26.153846153846157,3,1,1.9411764705882353,2,1,1,1,1,15
Low-Risk,LR_835,56,Female,NA,1,0,0,0,2,100,50,50,1,0.25,0.4425,0.25,30,3,0.25,0.7666666666666667,0.5,1,0.25,0.45714285714285713,0.5,9
Low-Risk,LR_836,51,Female,NA,1,0,0,0,1,15,15,15,0.25,0.25,0.25,0.25,6.666666666666667,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,3
Low-Risk,LR_837,52,Male,17313.317537452913,1,0,0,0,7,333,47.57142857142857,49,2,0.25,1.1463963963963963,1,21.62162162162162,99,0.25,3.3333333333333335,1.25,2,0.25,1.1724137931034482,1,66
Low-Risk,LR_838,23,Male,14649.141709140966,1,0,0,0,1,7,7,7,0.5,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5,0.5,0.5,3.5
Low-Risk,LR_839,29,Female,16956.554763965003,1,0,0,0,10,383,38.3,35.5,0.25,0.25,0.25,0.25,22.193211488250654,14.75,0.25,0.7352941176470589,0.25,0.25,0.25,0.25,0.25,12
Low-Risk,LR_84,38,Male,NA,1,0,0,0,1,1,1,1,0.5,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5
Low-Risk,LR_840,31,Male,18120.304200420043,1,0,0,0,1,2,2,2,0.25,0.25,0.25,0.25,0,NA,NA,NA,NA,0.25,0.25,0.25,0.25,0.5
Low-Risk,LR_841,52,Female,16081.0476064887,1,0,0,0,1,18,18,18,1,0.25,0.375,0.25,16.666666666666664,0.5,0.25,0.3333333333333333,0.25,1,0.25,0.4,0.25,5
Low-Risk,LR_842,24,Male,18660.344103625946,1,0,0,0,4,235,58.75,40,1,1,1,1,20,19,1,2.9361702127659575,2,1,1,1,1,50
Low-Risk,LR_843,22,Male,14058.268518749028,1,0,0,0,5,79,15.8,16,1,0.25,0.7753164556962026,1,20.253164556962027,2,0.25,1.171875,1,1,0.25,0.7619047619047619,1,29.25
Low-Risk,LR_844,49,Female,16697.36943147308,1,0,0,0,1,23,23,23,0.5,0.5,0.5,0.5,21.73913043478261,1,0.5,0.9,1,0.5,0.5,0.5,0.5,4.5
Low-Risk,LR_845,26,Female,22186.06985018727,1,0,0,0,1,27,27,27,1,1,1,1,14.814814814814813,2,1,1.5,1.5,1,1,1,1,17
Low-Risk,LR_846,24,Male,15160.225845070423,1,0,0,0,1,96,96,96,0.25,0.25,0.25,0.25,22.916666666666664,1.25,0.25,0.4318181818181818,0.375,0.25,0.25,0.25,0.25,9
Low-Risk,LR_847,30,Male,18101.64379188314,1,0,0,0,4,178,44.5,35.5,1,1,1,1,23.595505617977526,19,1,2.1666666666666665,1,1,1,1,1,45
Low-Risk,LR_848,29,Male,21950.282092190224,1,0,0,0,1,277,277,277,10,0.25,2.696750902527076,2,24.187725631768952,198,0.5,7.201492537313433,2,10,0.25,2.873809523809524,2,121
Low-Risk,LR_849,40,Male,17313.317537452913,1,0,0,0,21,1240,59.04761904761905,48,2.5,0.25,0.9461693548387097,1,22.096774193548388,99,0.25,2.927007299270073,1,2.5,0.25,0.9373706004140787,1,103.5
Low-Risk,LR_85,28,Female,11755.020442296971,1,0,0,0,2,109,54.5,54.5,5,1,2.169724770642202,1.5,17.431192660550458,10,1.5,3.710526315789474,3,5,1,2.227777777777778,1.75,130
Low-Risk,LR_850,31,Female,17321.40001429082,1,0,0,0,10,304,30.4,23,1,0.25,0.3996710526315789,0.375,17.763157894736842,1.5,0.25,0.5925925925925926,0.5,1,0.25,0.402,0.5,68.5
Low-Risk,LR_851,34,Male,16703.215292891873,1,0,0,0,1,20,20,20,0.25,0.25,0.25,0.25,10,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
Low-Risk,LR_852,28,Male,18789.373813575272,1,0,0,0,31,1892,61.03225806451613,51,1,0.25,0.29651162790697677,0.25,20.507399577167018,24.75,0.25,0.8131443298969072,0.5,1,0.25,0.2945478723404255,0.25,127.5
