group,id_player,prev_outcome,n_round,n_round_change,stake_change_prop,stake_change_size_overall,stake_change_level_overall,stake_change_size,stake_change_level
High-Risk,230,loss,12860,564,4.385692068429238,-0.016699066874027994,-0.024572317262830483,-0.3807624113475177,-0.5602836879432624
High-Risk,230,win,4154,81,1.9499277804525756,0.04056331246990852,0.04549831487722677,2.080246913580247,2.3333333333333335
High-Risk,231,loss,44549,20,0.04489438595703607,3.367078946777706e-5,2.2447192978518043e-5,0.075,0.05
High-Risk,231,win,15099,9,0.059606596463341946,1.1590171534538712e-4,4.636068613815485e-4,0.19444444444444445,0.7777777777777778
High-Risk,232,loss,13199,269,2.0380331843321464,-0.0023676036063338133,-0.0049246155011743314,-0.11617100371747212,-0.241635687732342
High-Risk,232,win,3727,12,0.32197477864233964,0.003823450496377784,0.004561309364099812,1.1875,1.4166666666666667
High-Risk,233,loss,36135,976,2.7009824270098246,-0.015179189151791892,-0.025819842258198424,-0.5619877049180327,-0.9559426229508197
High-Risk,233,win,11323,218,1.9252848185109954,0.0258986134416674,0.029585798816568046,1.3451834862385321,1.536697247706422
High-Risk,234,loss,521,7,1.3435700575815739,-0.0033589251439539347,-0.009596928982725527,-0.25,-0.7142857142857143
High-Risk,234,win,172,0,0,0,0,NA,NA
High-Risk,235,loss,429,1,0.2331002331002331,0.00058275058275058275,0.002331002331002331,0.25,1
High-Risk,235,win,119,0,0,0,0,NA,NA
High-Risk,236,loss,12072,515,4.266070245195494,-0.021102551358515572,-0.04961895294897283,-0.49466019417475726,-1.163106796116505
High-Risk,236,win,3449,15,0.43490866917947235,0.0024644824586836766,0.002609452015076834,0.5666666666666667,0.6
High-Risk,237,loss,401,8,1.99501246882793,-0.014962593516209476,-0.0199501246882793,-0.75,-1
High-Risk,237,win,94,2,2.127659574468085,0.047872340425531915,0.05319148936170213,2.25,2.5
High-Risk,238,loss,2984,1,0.03351206434316354,3.351206434316354e-4,6.702412868632708e-4,1,2
High-Risk,238,win,852,0,0,0,0,NA,NA
High-Risk,239,loss,78012,570,0.7306568220273804,-0.001535020253294365,-0.004550581961749475,-0.2100877192982456,-0.6228070175438597
High-Risk,239,win,22444,159,0.7084298698984138,0.0022945998930671892,0.005925859918018178,0.3238993710691824,0.8364779874213837
High-Risk,240,loss,207,1,0.4830917874396135,0.0012077294685990338,0.004830917874396135,0.25,1
High-Risk,240,win,62,0,0,0,0,NA,NA
High-Risk,241,loss,84,4,4.761904761904762,0.32142857142857145,0.11904761904761904,6.75,2.5
High-Risk,241,win,13,0,0,0,0,NA,NA
High-Risk,242,loss,240,0,0,0,0,NA,NA
High-Risk,242,win,68,0,0,0,0,NA,NA
High-Risk,243,loss,3307,92,2.781977623223465,0.005367402479588751,0.009071666162685213,0.19293478260869565,0.32608695652173914
High-Risk,243,win,963,4,0.4153686396677051,0.002336448598130841,0.006230529595015576,0.5625,1.5
High-Risk,244,loss,339,2,0.5899705014749262,0.004424778761061947,-0.0029498525073746312,0.75,-0.5
High-Risk,244,win,79,0,0,0,0,NA,NA
High-Risk,245,loss,769,5,0.6501950585175552,-3.2509752925877764e-4,-0.0013003901170351106,-0.05,-0.2
High-Risk,245,win,235,1,0.425531914893617,-0.0010638297872340426,-0.00425531914893617,-0.25,-1
High-Risk,246,loss,26884,119,0.44264246391905965,-3.25472399940485e-4,-0.0010787085255170362,-0.07352941176470588,-0.24369747899159663
High-Risk,246,win,7996,54,0.6753376688344171,0.00243871935967984,0.006753376688344172,0.3611111111111111,1
High-Risk,247,loss,68,0,0,0,0,NA,NA
High-Risk,247,win,11,0,0,0,0,NA,NA
High-Risk,248,loss,223,1,0.4484304932735426,-0.002242152466367713,-0.004484304932735426,-0.5,-1
High-Risk,248,win,54,0,0,0,0,NA,NA
High-Risk,249,loss,5212,19,0.3645433614735226,0.002398311588641596,0.003261703760552571,0.6578947368421053,0.8947368421052632
High-Risk,249,win,1705,15,0.8797653958944283,0.00469208211143695,0.0093841642228739,0.5333333333333333,1.0666666666666667
